iter,latency_ns
0,699
1,700
2,700
3,693
4,696
5,692
6,696
7,699
8,696
9,696
10,699
11,697
12,696
13,696
14,696
15,693
16,696
17,699
18,693
19,696
20,700
21,699
22,699
23,699
24,700
25,696
26,700
27,699
28,703
29,696
30,700
31,699
32,700
33,706
34,696
35,696
36,700
37,699
38,700
39,703
40,696
41,699
42,696
43,700
44,696
45,700
46,696
47,703
48,696
49,696
50,696
51,696
52,696
53,696
54,693
55,696
56,696
57,696
58,703
59,696
60,696
61,699
62,696
63,699
64,696
65,696
66,696
67,696
68,696
69,699
70,696
71,699
72,703
73,699
74,699
75,699
76,699
77,696
78,700
79,702
80,699
81,699
82,699
83,700
84,696
85,703
86,696
87,699
88,699
89,699
90,696
91,692
92,696
93,697
94,699
95,700
96,696
97,693
98,699
99,699
100,696
101,696
102,693
103,696
104,696
105,696
106,696
107,696
108,693
109,693
110,699
111,697
112,696
113,700
114,697
115,700
116,696
117,700
118,699
119,696
120,693
121,696
122,699
123,696
124,700
125,703
126,696
127,703
128,699
129,696
130,696
131,700
132,699
133,702
134,696
135,696
136,696
137,697
138,700
139,699
140,699
141,703
142,699
143,700
144,700
145,696
146,703
147,700
148,692
149,696
150,700
151,696
152,696
153,696
154,703
155,703
156,700
157,700
158,699
159,702
160,696
161,700
162,702
163,699
164,697
165,700
166,696
167,703
168,696
169,696
170,699
171,697
172,699
173,696
174,696
175,696
176,696
177,693
178,699
179,696
180,700
181,693
182,699
183,699
184,696
185,699
186,696
187,693
188,696
189,696
190,699
191,696
192,696
193,699
194,696
195,696
196,693
197,697
198,699
199,696
200,699
201,699
202,696
203,696
204,700
205,696
206,699
207,699
208,696
209,696
210,703
211,699
212,700
213,693
214,700
215,693
216,700
217,696
218,700
219,700
220,697
221,700
222,696
223,696
224,696
225,696
226,696
227,696
228,696
229,699
230,700
231,699
232,696
233,696
234,700
235,696
236,696
237,696
238,693
239,696
240,696
241,693
242,699
243,699
244,699
245,699
246,696
247,702
248,700
249,696
250,696
251,693
252,696
253,693
254,700
255,703
256,696
257,699
258,696
259,700
260,699
261,696
262,699
263,696
264,696
265,696
266,696
267,696
268,697
269,693
270,699
271,700
272,696
273,699
274,696
275,703
276,700
277,696
278,696
279,703
280,699
281,697
282,699
283,703
284,700
285,699
286,703
287,699
288,699
289,696
290,703
291,696
292,699
293,696
294,696
295,703
296,696
297,700
298,693
299,699
300,696
301,699
302,699
303,699
304,699
305,696
306,700
307,697
308,703
309,700
310,696
311,696
312,699
313,699
314,699
315,700
316,700
317,703
318,693
319,700
320,696
321,702
322,699
323,700
324,699
325,699
326,700
327,700
328,703
329,696
330,696
331,696
332,696
333,693
334,696
335,692
336,696
337,696
338,696
339,696
340,696
341,696
342,696
343,699
344,696
345,702
346,696
347,699
348,696
349,699
350,700
351,703
352,696
353,703
354,699
355,696
356,699
357,696
358,700
359,699
360,696
361,696
362,699
363,700
364,696
365,700
366,699
367,696
368,700
369,696
370,699
371,696
372,696
373,703
374,696
375,702
376,699
377,696
378,699
379,699
380,696
381,699
382,696
383,697
384,693
385,693
386,696
387,696
388,696
389,703
390,700
391,696
392,696
393,699
394,696
395,700
396,693
397,700
398,700
399,696
400,700
401,703
402,703
403,699
404,697
405,696
406,696
407,697
408,696
409,699
410,700
411,699
412,699
413,696
414,700
415,703
416,693
417,696
418,693
419,692
420,693
421,700
422,696
423,699
424,696
425,696
426,696
427,697
