iter,latency_ns
0,580
1,623
2,576
3,562
4,579
5,563
6,559
7,582
8,586
9,566
10,597
11,563
12,580
13,563
14,567
15,573
16,573
17,563
18,570
19,573
20,570
21,570
22,553
23,579
24,576
25,563
26,573
27,580
28,576
29,566
30,569
31,579
32,580
33,556
34,556
35,560
36,569
37,563
38,570
39,570
40,576
41,566
42,576
43,576
44,576
45,563
46,566
47,583
48,570
49,583
50,566
51,566
52,569
53,553
54,573
55,549
56,566
57,576
58,606
59,566
60,559
61,570
62,569
63,579
64,560
65,577
66,573
67,587
68,563
69,579
70,580
71,576
72,566
73,560
74,583
75,570
76,569
77,573
78,580
79,577
80,573
81,580
82,553
83,573
84,580
85,570
86,580
87,569
88,573
89,570
90,563
91,563
92,580
93,573
94,560
95,570
96,569
97,579
98,563
99,579
100,576
101,583
102,576
103,556
104,566
105,576
106,570
107,570
108,576
109,563
110,576
111,566
112,570
113,583
114,589
115,580
116,573
117,566
118,577
119,573
120,560
121,579
122,563
123,560
124,580
125,589
126,577
127,563
128,570
129,576
130,576
131,570
132,580
133,599
134,586
135,563
136,576
137,572
138,566
139,566
140,559
141,580
142,573
143,560
144,556
145,566
146,560
147,569
148,560
149,577
150,573
151,567
152,567
153,570
154,563
155,570
156,573
157,566
158,570
159,576
160,570
161,560
162,580
163,576
164,566
165,567
166,573
167,573
168,580
169,577
170,563
171,577
172,567
173,573
174,563
175,576
176,560
177,569
178,586
179,562
180,566
181,573
182,566
183,573
184,570
185,579
186,573
187,573
188,589
189,576
190,556
191,576
192,576
193,570
194,570
195,563
196,573
197,573
198,573
199,566
200,557
201,573
202,566
203,569
204,560
205,566
206,570
207,570
208,563
209,566
210,573
211,570
212,570
213,567
214,580
215,580
216,576
217,592
218,566
219,579
220,566
221,560
222,576
223,566
224,563
225,563
226,569
227,586
228,579
229,572
230,576
231,586
232,566
233,563
234,566
235,583
236,569
237,573
238,576
239,576
240,563
241,563
242,570
243,576
244,569
245,576
246,567
247,563
248,573
249,580
250,569
251,570
252,567
253,563
254,586
255,586
256,576
257,566
258,576
259,573
260,576
261,562
262,572
263,569
264,552
