iter,latency_ns
0,690
1,689
2,689
3,686
4,692
5,686
6,686
7,687
8,689
9,689
10,686
11,687
12,686
13,690
14,692
15,687
16,693
17,686
18,689
19,689
20,689
21,689
22,689
23,689
24,693
25,690
26,686
27,689
28,687
29,689
30,686
31,686
32,686
33,686
34,689
35,686
36,686
37,686
38,686
39,689
40,689
41,686
42,689
43,686
44,689
45,689
46,689
47,686
48,689
49,690
50,686
51,686
52,686
53,690
54,689
55,689
56,686
57,687
58,689
59,693
60,689
61,689
62,689
63,686
64,689
65,690
66,693
67,689
68,689
69,690
70,690
71,686
72,690
73,689
74,692
75,687
76,689
77,686
78,686
79,686
80,686
81,686
82,686
83,686
84,690
85,686
86,690
87,689
88,690
89,692
90,686
91,693
92,683
93,690
94,686
95,689
96,693
97,683
98,690
99,690
100,686
101,690
102,690
103,693
104,686
105,686
106,690
107,690
108,686
109,690
110,686
111,686
112,693
113,690
114,689
115,693
116,690
117,686
118,690
119,686
120,689
121,689
122,687
123,689
124,689
125,690
126,686
127,687
128,686
129,689
130,689
131,687
132,689
133,686
134,689
135,683
136,686
137,689
138,692
139,686
140,683
141,690
142,686
143,689
144,686
145,689
146,686
147,689
148,690
149,690
150,689
151,686
152,686
153,686
154,692
155,692
156,693
157,686
158,689
159,682
160,686
161,690
162,693
163,686
164,690
165,686
166,686
167,689
168,687
169,686
170,690
171,690
172,689
173,686
174,693
175,686
176,686
177,686
178,689
179,690
180,696
181,690
182,690
183,689
184,692
185,689
186,689
187,687
188,689
189,690
190,686
191,683
192,689
193,686
194,686
195,690
196,686
197,686
198,690
199,693
200,693
201,686
202,686
203,687
204,690
205,689
206,690
207,686
208,689
209,686
210,689
211,686
212,690
213,689
214,689
215,693
216,686
217,686
218,689
219,687
220,689
221,693
222,686
223,689
224,692
225,686
226,689
227,690
228,682
229,686
230,686
231,689
232,689
233,689
234,690
235,686
236,689
237,686
238,687
239,686
240,686
241,686
242,690
243,686
244,686
245,686
246,689
247,692
248,686
249,689
250,690
251,686
252,686
253,692
254,686
255,690
256,690
257,690
258,693
259,693
260,692
261,689
262,692
263,690
264,689
265,689
266,690
267,689
268,686
269,686
270,686
271,696
272,689
273,690
274,693
275,692
276,690
277,690
278,686
279,690
280,689
281,690
282,686
283,686
284,689
285,687
286,686
287,686
288,689
289,686
290,686
291,690
292,686
293,689
294,686
295,689
296,689
297,692
298,686
299,687
300,686
301,686
302,689
303,689
304,689
305,686
306,690
307,687
308,689
309,686
310,686
311,690
312,693
313,683
314,686
315,686
316,693
317,689
318,689
319,690
320,693
321,693
322,686
323,689
324,689
325,693
326,689
327,693
328,692
329,686
330,690
331,692
332,686
333,693
334,693
335,689
336,686
337,690
338,693
339,687
340,690
341,690
342,686
343,690
344,689
345,692
346,692
347,690
348,689
349,689
350,686
351,690
352,689
353,690
354,690
355,693
356,690
357,690
358,689
359,686
360,686
361,686
362,686
363,690
364,693
365,689
366,686
367,693
368,693
369,690
370,693
371,689
372,690
373,689
374,693
375,692
376,686
377,686
378,689
379,690
380,689
381,686
382,686
383,686
384,689
385,686
386,690
387,689
388,690
389,690
390,689
391,689
392,692
393,693
394,686
395,693
396,686
397,693
398,690
399,690
400,689
401,686
402,690
403,687
404,686
405,686
406,686
407,686
408,689
409,693
410,689
411,687
412,683
413,689
414,689
415,690
416,690
417,686
418,686
419,686
420,687
421,686
422,686
423,693
424,686
425,690
426,686
427,686
428,690
429,693
430,686
431,686
432,690
433,690
434,686
435,689
436,689
437,690
438,686
439,693
440,689
441,690
442,696
443,689
444,689
445,693
446,689
447,689
448,700
449,689
450,689
451,689
452,686
453,689
454,690
455,690
456,696
457,689
458,690
459,690
460,686
461,686
462,689
463,686
464,690
465,686
466,689
467,686
468,686
469,686
470,686
471,689
472,693
473,689
474,689
475,689
476,689
477,686
478,686
479,689
480,693
481,690
482,692
483,693
484,689
485,690
486,693
487,693
488,690
489,686
490,686
491,690
492,690
493,686
494,686
495,686
496,689
497,689
498,690
499,689
500,686
501,686
502,687
503,686
504,686
505,690
506,690
507,690
508,689
509,690
510,689
511,690
512,689
513,689
514,686
515,689
516,693
517,690
518,689
519,693
520,690
521,686
522,686
523,686
524,1305
525,686
526,693
527,692
528,686
529,693
530,687
531,689
532,689
533,689
534,689
535,689
536,689
537,689
538,690
539,689
540,692
541,686
542,690
543,692
544,690
545,693
546,689
547,690
548,693
549,692
550,686
551,690
552,686
553,686
554,689
555,690
556,693
557,686
558,689
559,690
560,689
561,686
562,689
563,690
564,689
565,689
566,689
567,686
568,693
569,689
570,689
571,687
572,689
573,689
574,689
575,693
576,693
577,693
578,689
579,686
580,686
581,687
582,689
583,683
584,689
585,687
586,689
587,689
588,689
589,690
590,686
591,686
592,690
593,686
594,686
595,686
596,689
597,689
598,689
599,693
600,690
601,690
602,693
603,683
604,689
605,693
606,692
607,693
608,692
609,689
610,692
611,687
612,692
613,689
614,689
615,690
616,689
617,683
618,693
619,693
620,689
621,686
622,686
623,686
624,690
625,686
626,690
627,686
628,690
629,687
630,690
631,689
632,686
633,686
634,692
635,693
636,693
637,693
638,686
639,690
640,690
641,686
642,690
643,692
644,693
645,690
646,693
647,686
648,692
649,686
650,693
651,689
652,689
653,689
654,690
655,689
656,686
657,686
658,686
659,690
660,689
661,689
662,689
663,690
664,689
665,690
666,686
667,683
668,689
669,686
670,689
671,689
672,690
673,690
674,689
675,689
676,689
677,686
678,689
679,690
680,686
681,686
682,689
683,690
684,690
685,687
686,686
687,686
688,689
689,690
690,690
691,693
692,686
693,690
694,690
695,686
696,692
697,686
698,683
699,689
700,690
701,690
702,690
703,690
704,690
705,689
706,689
707,689
708,689
709,689
710,689
711,689
712,690
713,689
714,689
715,689
716,696
717,689
718,689
719,690
720,690
721,686
722,690
723,690
724,689
725,690
726,689
727,693
728,689
729,693
730,690
731,686
732,689
733,686
734,689
735,692
736,689
737,690
738,686
739,689
740,686
741,690
742,690
743,689
744,686
745,686
746,689
747,690
748,689
749,693
750,690
751,690
752,690
753,690
754,689
755,692
756,692
757,683
758,686
759,686
760,690
761,693
762,689
763,690
764,690
765,690
766,690
767,686
768,686
769,689
770,689
771,687
772,689
773,686
774,689
775,683
776,686
777,686
778,690
779,690
780,687
781,686
782,689
783,690
784,689
785,683
786,686
787,690
788,690
789,690
790,686
791,690
792,686
793,690
794,689
795,689
796,690
797,693
798,683
799,689
800,692
801,690
802,689
803,690
804,693
805,693
806,693
807,689
808,690
809,689
810,693
811,690
812,689
813,693
814,687
815,686
816,690
817,690
818,689
819,690
820,692
821,689
822,690
823,690
824,686
825,686
826,693
827,686
828,690
829,689
830,686
831,693
832,686
833,686
834,690
835,689
836,690
837,689
838,690
839,689
840,693
841,690
842,689
843,686
844,690
845,686
846,690
847,686
848,683
849,686
850,690
851,690
852,693
853,686
854,690
855,686
856,686
857,690
858,689
859,683
860,692
861,686
862,686
863,690
864,686
865,689
866,686
867,687
868,686
869,689
870,686
871,686
872,689
873,692
874,689
875,693
876,687
877,689
878,689
879,689
880,689
881,693
882,689
883,682
884,687
885,689
886,689
887,683
888,689
889,690
890,686
891,689
892,686
893,690
894,683
895,686
896,690
897,686
898,686
899,689
900,686
901,686
902,686
903,689
904,689
905,690
906,686
907,693
908,689
909,689
910,693
911,689
912,689
913,690
914,689
915,690
916,689
917,689
918,690
919,692
920,690
921,690
922,689
923,689
924,690
925,686
926,692
927,689
928,686
929,693
930,690
931,692
932,690
933,690
934,690
935,686
936,686
937,687
938,689
939,693
940,689
941,690
942,686
943,689
944,692
945,690
946,689
947,690
948,689
949,689
950,690
951,686
952,689
953,690
954,689
955,689
956,689
957,690
958,687
959,690
960,683
961,692
962,693
963,689
964,693
965,689
966,693
967,693
968,690
969,689
970,682
971,693
972,689
973,686
974,686
975,682
976,690
977,686
978,689
979,689
980,693
981,689
982,689
983,689
984,686
985,690
986,693
987,689
988,689
989,686
990,689
991,692
992,686
993,690
994,690
995,690
996,686
997,692
998,693
999,686
1000,689
1001,693
1002,686
1003,686
1004,689
1005,689
1006,689
1007,690
1008,689
1009,693
1010,689
1011,690
1012,689
1013,690
1014,690
1015,689
1016,690
1017,689
1018,686
1019,690
1020,689
1021,686
1022,686
1023,690
1024,689
1025,686
1026,689
1027,686
1028,690
1029,689
1030,686
1031,689
1032,899
1033,689
1034,692
1035,689
1036,690
1037,686
1038,690
1039,693
1040,690
1041,690
1042,686
1043,686
1044,690
1045,690
1046,690
1047,689
1048,690
1049,690
1050,689
1051,689
1052,690
1053,687
1054,686
1055,690
1056,686
1057,687
1058,693
1059,686
1060,693
1061,689
1062,686
1063,689
1064,689
1065,689
1066,693
1067,689
1068,689
1069,689
1070,692
1071,693
1072,689
1073,690
1074,686
1075,689
1076,693
1077,690
1078,686
1079,690
1080,689
1081,689
1082,693
1083,690
1084,690
1085,692
1086,689
1087,689
1088,690
1089,690
1090,686
1091,689
1092,690
1093,689
1094,692
1095,689
1096,690
