iter,latency_ns
0,2661
1,2671
2,2678
3,2678
4,2664
5,2661
6,2662
7,2657
8,2654
9,2658
10,2661
11,2661
12,2664
13,2661
14,2661
15,2658
16,2658
17,2657
18,2664
19,2677
20,2678
21,2655
22,2661
23,2665
24,2688
25,2675
26,2661
27,2658
28,2661
29,2678
30,2664
31,2661
32,2655
33,2662
34,2651
35,2657
36,2682
37,2678
38,2654
39,2658
40,2678
41,2674
42,2658
43,2671
44,2674
45,2654
46,2661
47,2661
48,2658
49,2661
50,2655
51,2667
52,2657
53,2661
54,2657
55,2654
56,2661
57,2654
58,2674
59,2658
60,2658
61,2677
62,2674
63,2658
64,2681
65,2658
66,2661
67,2681
68,2678
69,2678
70,2661
71,2661
72,2661
73,2678
74,2675
75,2661
76,2677
77,2678
78,2658
79,2651
80,2658
81,2681
82,2677
83,2674
84,2678
85,2661
86,2658
87,2661
88,2654
89,2661
90,2658
91,2665
92,2671
93,2661
94,2662
95,2658
96,2655
97,2662
98,2661
99,2677
100,2668
101,2657
102,2681
103,2661
104,2674
105,2665
106,2658
107,2654
108,2658
109,2661
110,2661
111,2675
112,2671
113,2675
114,2674
115,2674
116,2674
117,2655
118,2681
119,2678
120,2674
121,2678
122,2661
123,2684
124,2678
125,2662
126,2681
127,2658
128,2675
129,2664
130,2664
131,2662
132,2661
133,2657
134,2661
135,2661
136,2661
137,2681
138,2658
139,2661
140,2657
141,2654
142,2658
143,2658
144,2658
145,2657
146,2662
147,2661
148,2661
149,2685
150,2675
151,2658
152,2661
153,2654
154,2661
155,2658
156,2658
157,2658
158,2658
159,2661
160,2661
161,2658
162,2671
163,2675
164,2674
165,2671
166,2654
167,2661
168,2655
169,2661
170,2658
171,2657
172,2661
173,2661
174,2661
175,2664
176,2661
177,2658
178,2661
179,2658
180,2652
181,2661
182,2657
183,2678
184,2678
185,2661
186,2658
187,2678
188,2677
189,2658
190,2661
191,2661
192,2661
193,2661
194,2658
195,2661
196,2664
197,2681
198,2671
199,2657
200,2658
201,2661
202,2661
203,2658
204,2664
205,2661
206,2661
207,2658
208,2684
209,2661
210,2661
211,2661
212,2661
213,2658
214,2658
215,2661
216,2665
217,2661
218,2658
219,2685
220,2658
221,2658
222,2658
223,2661
224,2657
225,2665
226,2658
227,2678
228,2681
229,2661
230,2661
231,2658
232,2664
233,2658
234,2661
235,2661
236,2658
237,2661
238,2658
239,2661
240,2661
241,2684
242,2678
243,2658
244,2658
245,2672
246,2661
247,2664
248,2668
249,2658
250,2665
251,2662
252,2665
253,2661
254,2664
255,2658
256,2661
257,2662
258,2664
259,2657
260,2664
261,2661
262,2657
263,2661
264,2664
265,2658
266,2658
267,2661
268,2655
269,2665
270,2664
271,2654
272,2662
273,2664
274,2657
275,2675
276,2658
277,2661
278,2661
279,2657
280,2661
281,2661
282,2654
283,2658
284,2658
285,2658
286,2654
287,2658
288,2658
289,2661
290,2661
291,2661
292,2658
293,2661
294,2661
295,2658
296,2658
297,2661
298,2661
299,2657
300,2681
301,2668
302,2674
303,2651
304,2684
305,2658
306,2674
307,2671
308,2671
309,2667
310,2678
311,2672
312,2657
313,2658
314,2658
315,2658
316,2661
317,2658
318,2657
319,2661
320,2655
321,2655
322,2665
323,2658
324,2682
325,2671
326,2661
327,2662
328,2661
329,2661
330,2661
331,2661
332,2661
333,2662
334,2661
335,2661
336,2675
337,2678
338,2658
339,2658
340,2681
341,2667
342,2661
343,2674
344,2678
345,2658
346,2661
347,2654
348,2661
349,2668
350,2661
351,2654
352,2658
353,2661
354,2658
355,2658
356,2661
357,2661
358,2675
359,2678
360,2681
361,2681
362,2675
363,2661
364,2661
365,2678
366,2681
367,2661
368,2654
369,2681
370,2681
371,2681
372,2678
373,2661
374,2661
375,2668
376,2671
377,2675
378,2662
379,2678
380,2661
381,2671
382,2661
383,2664
384,2658
385,2661
386,2658
387,2657
388,2658
389,2661
390,2664
391,2658
392,2658
393,2661
394,2661
395,2658
396,2658
397,2674
398,2658
399,2678
400,2657
401,2678
402,2658
403,2661
404,2681
405,2664
406,2661
407,2661
408,2661
409,2657
410,2661
411,2661
412,2657
413,2658
414,2657
415,2658
416,2661
417,2657
418,2658
419,2662
420,2664
421,2657
422,2661
423,2681
424,2681
425,2674
426,2658
427,2678
428,2658
429,2661
430,2665
431,2665
432,2665
433,2678
434,2665
435,2661
436,2688
437,2675
438,2681
439,2675
440,2677
441,2674
442,2678
443,2681
444,2661
445,2658
446,2654
447,2661
448,2658
449,2657
450,2658
451,2661
452,2661
453,2654
454,2658
455,2658
456,2665
457,2661
458,2658
459,2661
460,2657
461,2658
462,2665
463,2661
464,2658
465,2661
466,3221
467,2661
468,2678
469,2675
470,2661
471,2665
472,2668
473,2658
474,2662
475,2688
476,2681
477,2681
478,2677
479,2681
480,2661
481,2661
482,2662
483,2681
484,2677
485,2681
486,2661
487,2658
488,2662
489,2664
490,2661
491,2662
492,2657
493,2657
494,2658
495,2664
496,2657
497,2658
498,2661
499,2657
500,2655
501,2661
502,2658
503,2651
504,2661
505,2661
506,2658
507,2658
508,2665
509,2658
510,2658
511,2661
512,2661
513,2658
514,2661
515,2654
516,2661
517,2667
518,2665
519,2658
520,2677
521,2661
522,2654
523,2664
524,2655
525,2661
526,2658
527,2661
528,2658
529,2658
530,2655
531,2658
532,2658
533,2654
534,2658
535,2661
536,2657
537,2674
538,2654
539,2661
540,2658
541,2658
542,2664
543,2664
544,2678
545,2658
546,2671
547,2658
548,2675
549,2678
550,2671
551,2658
552,2658
553,2661
554,2661
555,2661
556,2661
557,2661
558,2657
559,2661
560,2664
561,2657
562,2658
563,2664
564,2664
565,2661
566,2661
567,2658
568,2674
569,2664
570,2654
571,2658
572,2658
573,2661
574,2658
575,2661
576,2658
577,2658
578,2657
579,2661
580,2675
581,2664
582,2654
583,2658
584,2658
585,2665
586,2661
587,2661
588,2658
589,2657
590,2661
591,2654
592,2662
593,2651
594,2664
595,2658
596,2661
597,2684
598,2681
599,2681
600,2658
601,2685
602,2677
603,2658
604,2661
605,2661
606,2664
607,2657
608,2661
609,2661
610,2661
611,2657
612,2658
613,2658
614,2661
615,2658
616,2658
617,2654
618,2674
619,2678
620,2678
621,2674
622,2678
623,2678
624,2681
625,2657
626,2678
627,2675
628,2675
629,2681
630,2678
631,2668
632,2675
633,2658
634,2658
635,2658
636,2658
637,2661
638,2658
639,2661
640,2668
641,2664
642,2662
643,2681
644,2664
645,2661
646,2654
647,2658
648,2658
649,2657
650,2661
651,2658
652,2658
653,2661
654,2658
655,2657
656,2661
657,2661
658,2678
659,2671
660,2674
661,2671
662,2681
663,2678
664,2681
665,2658
666,2661
667,2661
668,2658
669,2661
670,2681
671,2677
672,2661
673,2658
674,2674
675,2681
676,2681
677,2677
678,2678
679,2655
680,2661
681,2654
682,2661
683,2661
684,2658
685,2654
686,2661
687,2658
688,2674
689,2664
690,2661
691,2661
692,2661
693,2658
694,2655
695,2681
696,2657
697,2658
698,2657
699,2658
700,2661
701,2658
702,2658
703,2661
704,2671
705,2675
706,2665
707,2657
708,2674
709,2678
710,2658
711,2661
712,2655
713,2654
714,2678
715,2678
716,2662
717,2678
718,2661
719,2655
720,2661
721,2661
722,2661
723,2657
724,2664
725,2681
726,2678
727,2681
728,2675
729,2657
730,2661
731,2661
732,2657
733,2661
734,2681
735,2674
736,2661
737,2654
738,2657
739,2661
740,2682
741,2678
742,2674
743,2678
744,2664
745,2654
746,2662
747,2657
748,2661
749,2658
750,2661
751,2681
752,2682
753,2664
754,2657
755,2658
756,2661
757,2661
758,2658
759,2654
760,2678
761,2678
762,2674
763,2674
764,2674
765,2671
766,2661
767,2658
768,2681
769,2658
770,2661
771,2661
772,2661
773,2658
774,2657
775,2678
776,2678
777,2681
778,2681
779,2684
780,2678
781,2661
782,2661
783,2655
784,2654
785,2661
786,2658
787,2671
788,2675
789,2661
790,2658
791,2678
792,2678
793,2684
794,2661
795,2658
796,2674
797,2681
798,2678
799,2655
800,2661
801,2681
802,2674
803,2661
804,2661
805,2655
806,2658
807,2661
808,2658
809,2658
810,2671
811,2677
812,2675
813,2681
814,2682
815,2658
816,2678
817,2658
818,2654
819,2661
820,2655
821,2661
822,2657
823,2658
824,2661
825,2655
826,2661
827,2658
828,2661
829,2661
830,2658
831,2654
832,2654
833,2677
834,2678
835,2677
836,2661
837,2658
838,2661
839,2657
840,2658
841,2658
842,2661
843,2661
844,2661
845,2661
846,2674
847,2661
848,2675
849,2675
850,2661
851,2658
852,2658
853,2665
854,2661
855,2664
856,2658
857,2658
858,2657
859,2654
860,2661
861,2658
862,2681
863,2678
864,2671
865,2681
866,2654
867,2661
868,2661
869,2678
870,2657
871,2665
872,2655
873,2661
874,2658
875,2665
876,2657
877,2665
878,2654
879,2678
880,2658
881,2677
882,2684
883,2681
884,2658
885,2661
886,2658
887,2658
888,2681
889,2658
890,2658
891,2661
892,2661
893,2664
894,2658
895,2661
896,2661
897,2654
898,2658
899,2661
900,2661
901,2658
902,2675
903,2678
904,2675
905,2675
906,2667
907,2658
908,2658
909,2664
910,2661
911,2661
912,2674
913,2658
914,2654
915,2661
916,2681
917,2681
918,2678
919,2684
920,2661
921,2681
922,2668
923,2657
924,2675
925,2681
926,2678
927,2658
928,2658
929,2681
930,2681
931,2661
932,2677
933,2664
934,2664
935,2657
936,2662
937,2657
938,2661
939,2655
940,2661
941,2664
942,2661
943,2665
944,2658
945,2654
946,2658
947,2661
948,2661
949,2678
950,2681
951,2678
952,2681
953,2661
954,2665
955,2661
956,2657
957,2675
958,2671
959,2658
960,2654
961,2665
962,2681
963,2675
964,2671
965,2671
966,2678
967,2677
968,2677
969,2671
970,2658
971,2681
972,2657
973,2661
974,2658
975,2664
976,2671
977,2667
978,2675
979,2655
980,2658
981,2658
982,2658
983,2665
984,2658
985,2681
986,2661
987,2681
988,2664
989,2664
990,2674
991,2681
992,2672
993,2678
994,2678
995,2664
996,2661
997,2657
998,2658
999,2681
1000,2658
1001,2665
1002,2661
1003,2658
1004,2665
1005,2661
1006,2658
1007,2655
1008,2661
1009,2658
1010,2661
1011,2661
1012,2662
1013,2658
1014,2661
1015,2661
1016,2661
1017,2661
1018,2661
1019,2658
1020,2664
1021,2658
1022,2661
1023,2661
1024,2658
1025,2658
1026,2661
1027,2668
1028,2657
1029,2664
1030,2654
1031,2661
1032,2661
1033,2661
1034,2654
1035,2657
1036,2661
1037,2658
1038,2678
1039,2658
1040,2658
1041,2655
1042,2654
1043,2674
1044,2681
1045,2661
1046,2674
1047,2667
1048,2654
1049,2658
1050,2657
1051,2654
1052,2654
1053,2658
1054,2661
1055,2658
1056,2661
1057,2661
1058,2678
1059,2674
1060,2661
1061,2658
1062,2661
1063,2658
1064,2657
1065,2661
1066,2657
1067,2658
1068,2657
1069,2661
1070,2675
1071,2654
1072,2684
1073,2678
1074,2671
1075,2681
1076,2681
1077,2678
1078,2671
1079,2661
1080,2658
1081,2674
1082,2654
1083,2658
1084,2661
1085,2654
1086,2678
1087,2678
1088,2677
1089,2664
1090,2681
1091,2678
1092,2681
1093,2681
1094,2674
1095,2681
1096,2681
1097,2681
1098,2661
1099,2657
1100,2658
1101,2682
1102,2674
1103,2651
1104,2661
1105,2685
1106,2661
1107,2661
1108,2668
1109,2661
1110,2658
1111,2654
1112,2664
1113,2658
1114,2658
1115,2657
1116,2661
1117,2681
1118,2661
1119,2665
1120,2664
1121,2661
1122,2658
1123,2658
1124,2654
1125,2664
1126,2658
1127,2657
1128,2658
1129,2657
1130,2661
1131,2661
1132,2661
1133,2655
1134,2658
1135,2661
1136,2661
1137,2671
1138,2678
1139,2671
1140,2671
1141,2668
1142,2661
1143,2661
1144,2658
1145,2665
1146,2678
1147,2678
1148,2657
1149,2661
1150,2658
1151,2661
1152,2661
1153,2658
1154,2651
1155,2661
1156,2691
1157,2658
1158,2661
1159,2658
1160,2658
1161,2658
1162,2661
1163,2661
1164,2661
1165,2661
1166,2655
1167,2664
1168,2658
1169,2661
1170,2671
1171,2671
1172,2664
1173,2678
1174,2664
1175,2654
1176,2661
1177,2664
1178,2665
1179,2658
1180,2675
1181,2677
1182,2657
1183,2658
1184,2658
1185,2654
1186,12133
1187,2708
1188,2674
1189,2675
1190,2661
1191,2677
1192,2671
1193,2674
1194,2671
1195,2658
1196,2658
1197,2658
1198,2657
1199,2664
1200,2655
1201,2658
1202,2661
1203,2658
1204,2678
1205,2661
1206,2681
1207,2681
1208,2681
1209,2665
1210,2658
1211,2661
1212,2661
1213,2665
1214,2678
1215,2665
1216,2657
1217,2661
1218,2668
1219,2654
1220,2654
1221,2658
1222,2655
1223,2657
1224,2658
1225,2661
1226,2658
1227,2668
1228,2665
1229,2658
1230,2654
1231,2658
1232,2658
1233,2658
1234,2661
1235,2671
1236,2681
1237,2671
1238,2668
1239,2671
1240,2658
1241,2658
1242,2658
1243,2661
1244,2654
1245,2661
1246,2658
1247,2661
1248,2655
1249,2682
1250,2674
1251,2658
1252,2661
1253,2661
1254,2658
1255,2658
1256,2661
1257,2661
1258,2658
1259,2658
